step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
270,A2,MODALITY,will,FORM: QUESTIONS,Can use the question form.,Will you be at home?,
271,A2,MODALITY,will,FORM: NEGATIVE,Can use the negative forms.,"Don't worry, you won't need anything apart from some pencils and your art book.",
272,A2,MODALITY,will,"USE: WILLINGNESS, OFFERS",Can use 'will' to talk about willingness and offers,"My mother will get us there, and she will bring us to my house after too.",
273,A2,MODALITY,will,"FORM/USE: AFTER 'IF', FUTURE SITUATIONS",Can use 'will' in the main clause after an 'if-' clause to talk about possible future situations. ► conditionals,"If I need a camera, I will use my mobile phone.",
274,A2,MODALITY,will,USE: REQUESTS,Can use 'will' to make requests in a limited range of contexts.,Will you come with me?,1.0
275,A2,MODALITY,would,FORM: NEGATIVE,Can use the negative forms.,[talking about clothes] You wouldn't believe how much they cost!,
276,A2,MODALITY,would,FORM: AFFIRMATIVE,Can use the affirmative form.,I'd love to have a pen-friend in Japan.,
277,A2,MODALITY,would,USE: WISHES AND PREFERENCES ,Can use 'would' with a wide range of verbs to talk about wishes and preferences.,"I would prefer to go on Sunday, because on Sunday I have no school.",
278,A2,MODALITY,would,USE: SUGGESTIONS WITH 'IT WOULD BE',Can use 'it would be' to make suggestions.,[talking about a jazz concert] It would be very good if you came with me.,
279,A2,MODALITY,would,USE: IMAGINED SITUATIONS,Can use 'would' to talk about imagined situations.,I was thinking of painting my bedroom blue. It would look awesome.,
280,A2,MODALITY,would,FORM: QUESTIONS WITH 'LIKE',Can use the question form 'would you like'.,"Sarah, would you like to play tennis this evening?",
281,A2,NEGATION,negation,FORM: PRONOUNS ,Can use a limited range of determiners as pronouns and indefinite pronouns in negative contexts.  ► Pronouns: quantity,"I bought a shirt, because I haven't got any.",
282,A2,NEGATION,negation,FORM: MODAL VERBS,Can use negative forms of modal verbs. ► modal verbs,I'm sorry I can't come to your wedding because I am very sick.,
283,A2,NEGATION,negation,"FORM: 'DO', IMPERATIVES",Can form negative imperatives of main verbs with 'don’t' + main verb. ► Clauses: imperatives,Don't forget your electric guitar.,
284,A2,NEGATION,negation,"FORM: AUXILIARY VERBS 'BE', 'HAVE', PRESENT",Can form negative statements of main verbs in the present continuous and present perfect with 'be' and 'have' + 'not/n't'.  ► present continuous ► present perfect,The gas is not working.,
285,A2,NEGATION,negation,"FORM: AUXILIARY VERB 'DO', PAST",Can form negative statements of main verbs in the past simple with 'didn’t' + main verb. ► past simple,It was very sad that you didn't come to my birthday party but it's ok.,
286,A2,NEGATION,negation,"FORM: DETERMINERS 'ANY', 'MUCH', 'MANY'","Can use determiners 'any', 'much' and 'many' with nouns in negative contexts. ► Determiners: quantity",I bought them because I didn't have any shirts or hats.,
287,A2,NEGATION,negation,FORM: DETERMINERS 'NO',Can use determiner 'no' with nouns.  ► Determiners: quantity,"I bought these clothes because I need them for my new job, but now I have no money because they cost £250.",
288,A2,NOUNS,noun phrases,FORM: WITH RELATIVE CLAUSE AS POSTMODIFIER,Can post-modify noun phrases by using a non-defining relative clause. ► Clauses: relative,"She's in a volleyball team like me, but we're not in the same one. She was for the other team, which lost.",
289,A2,NOUNS,noun phrases,FORM: DETERMINER + NOUN,Can form simple noun phrases by pre-modifying nouns with an increasing range of determiners.,"There are so many shops, you can play games, eat food like Chinese food.",2.0
290,A2,NOUNS,noun phrases,FORM: DETERMINER + UNCOUNTABLE NOUN,Can form simple noun phrases with a limited range of determiners + uncountable nouns.,The food was delicious and the music was great.,
291,A2,NOUNS,noun phrases,FORM: NOUN PHRASES WITH ADJECTIVES,Can pre-modify noun phrases with a limited range of more than one adjective.,I bought a beautiful pink skirt and a white top.,1.0
292,A2,NOUNS,noun phrases,FORM: WITH RELATIVE CLAUSE AS COMPLEMENT,Can form complex noun phrases by using a defining relative clause as a complement to a noun phrase. ► Clauses: relative,The mobile phone which I bought yesterday is brilliant.,
293,A2,NOUNS,noun phrases,FORM: POSSESSION WITH ''S' + NOUN,Can use possessive determiner ''s' with a singular noun.,It's my sister's jacket.,
294,A2,NOUNS,plural,FORM: PLURAL '-IES',"Can form plurals of countable nouns ending in a consonant plus '-y', by changing the 'y' to 'I' and adding '-es'.",I have a lot of hobbies.,
295,A2,NOUNS,plural,FORM: PLURAL '-ES',"Can form plurals by adding '-es' to countable nouns ending in '-o', '-ch', '-s', '-sh', '-x' or '-z'.",The art classes after school are on Tuesdays.,
296,A2,NOUNS,plural,FORM: IRREGULAR PLURAL NOUNS,Can form some irregular plural nouns.,It was a sale and I bought some clothes for my children.,
297,A2,NOUNS,plural,FORM: NOUNS ONLY USED IN THE PLURAL,"Can use nouns that only have a plural form, with plural agreement.",I bought them because I feel comfortable when I am wearing these clothes.,
298,A2,NOUNS,types,"FORM: '-ING' FORMS, OBJECT  ","Can use the '-ing' forms of verbs as nouns, in object position, to refer to activities.",There we did a lot of things like swimming from the beach and going shopping.,1.0
299,A2,NOUNS,uncountable,FORM: UNCOUNTABLE NOUNS,Can use a limited range of uncountable nouns.,"I listen to music, I watch TV and I talk to my friends.",1.0
300,A2,NOUNS,uncountable,FORM: WITH 'THE' ,Can use uncountable nouns with 'the' to talk about something specific.,"The music is going to be loud, since it's rap.",
301,A2,NOUNS,uncountable,"FORM: WITH DETERMINERS, QUANTITY","Can use uncountable nouns with a limited range of quantity words and phrases including 'some', 'any', 'a lot of', 'more'. ► Determiners: quantity","It's really important for me, because I need to do some homework.",1.0
302,A2,NOUNS,uncountable,"FORM: CONTAINERS, QUANTITY EXPRESSIONS",Can refer to an individual example or quantity of an uncountable noun using words for containers and countable items.,"We have to bring a bottle of water, trainers and a T-shirt or top.",
303,A2,PASSIVES,passives: form,"FORM: PAST SIMPLE, AFFIRMATIVE",Can use the past simple passive affirmative after a singular subject.,It was built in 1880.,
304,A2,PASSIVES,passives: form,"FORM: PRESENT SIMPLE, AFFIRMATIVE",Can use the present simple passive affirmative with a singular subject.,"The group is called ""playmo"".",
305,A2,PASSIVES,passives: form,FORM/USE: WITH 'BY' TO ADD INFORMATION,Can use the passive with 'by' to add information about something already known.,It was bought by my uncle.,
306,A2,PAST,past continuous,FORM: AFFIRMATIVE,Can use the affirmative form.,I was waiting for you all Saturday evening.,
307,A2,PAST,past continuous,FORM: WITH ADVERBS,Can use the past continuous with a limited range of adverbs in the normal mid position.,I was just watching a football match.,1.0
308,A2,PAST,past continuous,USE: BACKGROUND EVENTS,Can use the past continuous to show that an event was happening in the background to the main event.,"Yesterday we were studying maths in your house, and I left my book on your bed.",
309,A2,PAST,past continuous,USE: EVENTS IN PROGRESS ,Can use the past continuous to talk about actions and states in progress around a particular time in the past.,"I went to a soccer game, they were playing the last game to get the championship.",
310,A2,PAST,past simple,FORM: AFFIRMATIVE,Can use the affirmative form with an increasing range of verbs.,I forgot to tell you some details about tomorrow evening.,2.0
311,A2,PAST,past simple,FORM: QUESTIONS,Can use 'yes/no' and 'wh-' question forms with 'you' with a limited range of verbs.,Did you buy something yesterday?,1.0
312,A2,PAST,past simple,FORM: NEGATIVE,Can use the negative form with a limited range of regular and irregular verbs.,The player from China did not look very happy though.,1.0
313,A2,PAST,past simple,FORM: WITH 'WHEN',Can use 'when' + past simple in subordinate clauses.,"When I arrived, the weather was horrible.",
314,A2,PAST,present perfect simple,FORM/USE: WITH 'YET',Can use the negative form with 'yet' to talk about events which are expected to be completed at some point in the future.,[talking about a new mobile phone] I haven't seen it yet.,
315,A2,PAST,present perfect simple,FORM/USE: TIME WITH 'FOR',Can use the negative form with 'for' to talk about a past event or action which hasn't occurred again in the period of time up to now.,I haven't eaten Italian food for a long time.,
316,A2,PAST,present perfect simple,FORM: AFFIRMATIVE,"Can use the affirmative form 'have' + '-ed' with pronouns 'I' and 'we', and with a limited range of verbs.",I have seen the Eiffel Tower and many old buildings.,1.0
317,A2,PAST,present perfect simple,FORM: NEGATIVE,Can use the negative form 'haven't' + '-ed' with 'I' with a limited range of verbs.,I haven't eaten Italian food for a long time.,1.0
318,A2,PAST,present perfect simple,FORM: QUESTIONS,Can use the question form 'have you' + '-ed' with with a limited range of verbs.,Have you bought anything?,1.0
319,A2,PAST,present perfect simple,FORM: WITH ADVERBS,Can use the present perfect simple with a limited range of adverbs in the normal mid position.,"I have never seen a competition like that before, and I love it.",1.0
320,A2,PAST,present perfect simple,USE: EXPERIENCES,Can use the present perfect simple to talk about experiences up to now.,I've seen the British Museum.,
321,A2,PREPOSITIONS,prepostions,FORM: 'JUST' + PREPOSITION,Can use 'just' to modify prepositions.,It's just near the cinema.,
322,A2,PREPOSITIONS,prepostions,FORM: COMPLEX,Can use a limited range of complex prepositions.,We can meet in the park near to my house at 7.00 p.m.,1.0
323,A2,PREPOSITIONS,prepostions,FORM: SIMPLE,Can use an increasing range of simple (single-word) prepositions.,Please return it by tomorrow morning.,2.0
324,A2,PREPOSITIONS,prepostions,FORM: + '-ING',Can form prepositional phrases using the '-ing' form of verbs as complements.,I can help by bringing the sound box and bit box I am free at friday 7:30 pm.,
325,A2,PREPOSITIONS,prepostions,FORM: STRANDING,"Can end a 'wh-' question with a preposition, where the preposition is stranded from its complement.",Who are you going with?,
326,A2,PRESENT,present continuous,FORM: NEGATIVE,Can use the negative form.,[talking about a computer] I’m not using it any more.,
327,A2,PRESENT,present continuous,USE: EVENTS IN PROGRESS,Can use the present continuous with an increasing range of verbs to talk about situations and events in progress.,I am watching a swimming competition.,2.0
328,A2,PRESENT,present continuous,USE: TEMPORARY SITUATIONS ,Can use the present continuous with a limited range of verbs to talk about temporary situations.,[talking about a temporary situation] I'm living with my friend in Wolverhampton. I'm studying at Wolverhampton College.,1.0
329,A2,PRESENT,present continuous,FORM: QUESTIONS,"Can use 'wh-' questions, especially in the context of letters and emails.","Dear Mom, How are you doing?",
330,A2,PRESENT,present continuous,FORM/USE: WITH ADVERBS OF INDEFINITE FREQUENCY,"Can use the present continuous with a limited range of adverbs of indefinite frequency, often to talk about surprising or undesirable situations or events (especially with 'always').",I'm always dreaming about a job as a secretary.,1.0
331,A2,PRESENT,present simple,FORM: AFFIRMATIVE,Can use the affirmative form with an increasing range of regular and irregular verbs.,"They are very important to me, because they bring me good luck.",2.0
332,A2,PRESENT,present simple,FORM/USE: REAL AND IMAGINED SITUATIONS AFTER 'IF',Can use the present simple after 'if' to talk about real and imagined situations.,"If you want some help, I will be free next week.",
333,A2,PRESENT,present simple,FORM: WITH ADVERBS OF INDEFINITE FREQUENCY ,Can use the present simple with adverbs of indefinite frequency.    ► adverbs,People usually try to eat their breakfast between 7 and 9 am.,
334,A2,PRESENT,present simple,FORM: QUESTIONS ,Can use 'yes/no' and 'wh-' question forms with 'you'.,Do you have a mobile phone?,
335,A2,PRESENT,present simple,FORM: NEGATIVE ,Can use the negative form with an increasing range of regular and irregular verbs.,I don't need the video because I've got the DVD.,2.0
336,A2,PRESENT,present simple,USE: MENTAL PROCESS VERBS,"Can use the present simple with a limited range of mental process verbs including 'think', 'hope', 'know'.",I think my bag is in your kitchen.,1.0
337,A2,PRESENT,present simple,USE: SUGGESTIONS ,"Can use the present simple with 'why don't you…?', 'Why don’t we…?' and 'if you want or if you like' to make suggestions.",Why don't you wear your black suit?,
338,A2,PRESENT,present simple,USE: INSTRUCTIONS AND DIRECTIONS,Can use the present simple to give instructions and directions.,Then you turn right and my house is on your left.,
339,A2,PRESENT,present simple,FORM: INDIRECT QUESTIONS,"Can form indirect questions with 'Do you know' + 'how', 'where', 'why', or 'what …?'",Do you know how to get to my house?,
340,A2,PRONOUNS,demonstratives,FORM: 'THIS',Can use 'this' as a pronoun with singular reference.,This is a very interesting place.,
341,A2,PRONOUNS,demonstratives,"USE: 'THIS', ALREADY MENTIONED ",Can use 'this' as a pronoun to refer back to single things or groups of plural things which have already been mentioned.,Thank you for this.,
342,A2,PRONOUNS,demonstratives,USE: 'THIS' POINTING ,Can use 'this' as a pronoun to point to or identify single things or entities which are about to follow and have immediate relevance.,This is my number: 0754 567 78 51.,
343,A2,PRONOUNS,demonstratives,"USE: 'THAT', ALREADY MENTIONED",Can use 'that' as a pronoun to refer back to something which has already been mentioned.,"You know that blue is my favourite colour, so we are going to use that.",
344,A2,PRONOUNS,demonstratives,FORM/USE: RESPONSE TOKENS WITH 'THAT'S',Can use 'that's' + adjective to respond to something.,That's great!,
345,A2,PRONOUNS,demonstratives,FORM: 'THAT',Can use 'that' as a pronoun with singular reference.,That was amazing.,
346,A2,PRONOUNS,demonstratives,"USE: 'THIS', NOW",Can use 'this' as a pronoun to refer to something that is happening now.,This is the best holiday I have ever had!,
347,A2,PRONOUNS,demonstratives,USE: CLOSING,Can use 'that's all' to end a letter.,That's all for now.,
348,A2,PRONOUNS,generic use,"USE: 'YOU', GENERAL",Can use 'you' to refer to people in general.,"My new mobile phone can do lots of things! You can play games, you can take pictures.",
349,A2,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: OBJECT OR COMPLEMENT,Can use an increasing range of indefinite pronouns as objects or complements of prepositions.,[talking about a phone] I need it because I have to call someone.,2.0
350,A2,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: SUBJECT,"Can use a limited range of indefinite pronouns ('someone', 'everyone') as subjects, with a singular verb.",I bought them because someone stole my luggage at the airport.,1.0
351,A2,PRONOUNS,"indefinite - thing, -one, -body etc",USE: 'SOMETHING' IN VAGUE EXPRESSIONS,"Can use 'something' in vague expressions, to refer to things in a non-specific way.",After the concert we can have a pizza or something else.,
352,A2,PRONOUNS,"indefinite - thing, -one, -body etc","FORM/USE: WITH ADJECTIVE, SPECIFYING","Can modify 'something' or 'anything' with an adjective, to make it more specific.","Next weekend it's my mum's birthday party, so I needed something new to wear.",
353,A2,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: NEGATIVE + 'ANYTHING',Can use 'anything' after a negative verb form.,You don't have to bring anything.,
354,A2,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: WITH 'ELSE',Can use indefinite pronouns with 'else'.,Have you got something else to do on Saturday or can you come with me?,
355,A2,PRONOUNS,"indefinite - thing, -one, -body etc","FORM/USE: WITH 'TO' INFINITIVE, SPECIFYING","Can modify 'something' or 'anything' with 'to' infinitive, to make it more specific.","Please, bring something to drink.",
356,A2,PRONOUNS,possessive,FORM: + 'OF MINE' ,Can use the possessive pronoun 'mine' after 'of' in the phrases 'a friend of mine' and 'friends of mine'.,A friend of mine gave me a present for my birthday.,
357,A2,PRONOUNS,possessive,FORM: 'YOURS' AS OBJECT,"Can use the possessive pronoun 'yours', with singular reference, in object positions, and complement positions after 'be' and after prepositions.","It was my best present, although I also loved yours.",
358,A2,PRONOUNS,possessive,FORM: 'MINE',"Can use the possessive pronoun 'mine', with singular and plural reference, in subject and object positions, and complement positions after 'be' and after prepositions.",I bought a new jacket because mine was very old.,
359,A2,PRONOUNS,quantity,FORM: WITH 'OF' + OBJECT PRONOUN,"Can use a limited range of pronouns ('all', 'both') with 'of' followed by an object pronoun, to refer to quantity.",There are a lot of functions but I don't know how to use all of them.,1.0
360,A2,PRONOUNS,quantity,FORM: 'SOME' AND 'ANY' ,"Can use pronouns 'some' and 'any', to refer to quantity.",[talking about items of clothing] Some were cheap but some were expensive.,
361,A2,PRONOUNS,quantity,FORM: 'SOME' AS SUBJECT AND OBJECT,Can use 'some' as a subject and object to refer back to a plural or uncountable noun.,"I saw a lot of people on the beach, some were playing football and some were sunbathing. (A2 WAYSTAGE; 2011; Somali; Pass",
362,A2,PRONOUNS,quantity,FORM: 'ANY' AS OBJECT,Can use 'any' as an object in a negative clause to refer back to a plural or uncountable noun.,Bring some good CDs. I don't have any.,
363,A2,PRONOUNS,reflexive,FORM: SAME SUBJECT AND OBJECT.,"Can use a limited range of singular reflexive pronouns ('myself', 'yourself') with a limited range of verbs ('enjoy', 'buy') to refer to actions where the subject and object of the verb are the same.",I enjoyed myself so much.,1.0
364,A2,PRONOUNS,subject/ object,FORM: (SUBJECT) ELLIPSIS AFTER 'HOPE',Can leave out the subject pronoun with 'hope'. ► ellipsis,Hope to see you soon.,
365,A2,PRONOUNS,subject/ object,FORM: (SUBJECT) EMPTY 'IT',"Can use 'it' as an empty subject when there is nothing else to put in subject position, particularly with weather or time.",It's warm and windy.,
366,A2,PRONOUNS,"substitution, one, ones, none",FORM: 'ONE',Can use 'one' as a pronoun to substitute for singular countable nouns which have already been mentioned or are obvious from the context.,[talking about a phone] I chose the black one with the numbers in orange.,
367,A2,PRONOUNS,"substitution, one, ones, none","FORM/USE: POSTMODIFYING, SPECIFYING","Can use 'the one' and 'the' + pre-modifier + 'one' with a complement, to refer to something specific.",My house is No.8 and it's the one with silver gates.,
368,A2,PRONOUNS,"substitution, one, ones, none",FORM: PRE-MODIFYING,Can use determiners + premodifers + 'one'.,I like my present very much because I needed a new one.,
369,A2,QUESTIONS,alternatives,FORM: WORD + WORD,Can form alternative questions with two words from the same class combined with 'or'.,Can you bring some food or drinks for the dinner?,
370,A2,QUESTIONS,tags,FORM: QUESTION TAGS,Can use a limited range of question tags.,"You don't know where I live, do you?",1.0
371,A2,QUESTIONS,wh-,FORM: WITH AUXILIARY 'HAVE',Can use 'wh-'words + auxiliary 'have' to form 'wh-'questions. ► present perfect  ►  past perfect,How have you been?,
372,A2,QUESTIONS,wh-,FORM: WITH AUXILIARY 'DO',Can use 'wh-'words + auxiliary 'do' + subject + main verb to form 'wh-'questions. ► present simple;  ► past simple,What do you think?,
373,A2,QUESTIONS,wh-,FORM: WITH AUXILIARY 'BE',Can use 'wh-'words + auxiliary 'be' to form 'wh-'questions. ► present continuous ► past continuous,Who are you going with?,
374,A2,QUESTIONS,wh-,FORM: MODAL VERBS ,Can use 'wh-'words + modal verbs + subject + main verb to form 'wh-'questions.,What will you bring?,
375,A2,QUESTIONS,wh-,"FORM/USE: NEGATIVE QUESTONS, SUGGESTIONS","Can use negative question 'why don’t' + pronoun + verb, to make a suggestion or invitation.",Why don't we watch a film?,
376,A2,QUESTIONS,wh-,FORM: MAIN VERB 'BE',Can use 'wh-'words + main verb 'be' + subject to form 'wh-' questions.,How was your dinner yesterday?,
377,A2,QUESTIONS,yes/no,FORM: AUXILIARY 'BE',Can use auxiliary 'be' + subject + the '-ing' form (continuous form) to form 'yes/no' questions.,Are you going to come?,
378,A2,QUESTIONS,yes/no,FORM: LEXICAL VERBS WITH 'DO',Can use auxiliary 'do' + subject + main verb to form 'yes/no' questions.,My favourite song is 'Viva la vida'. Do you know it?,
379,A2,QUESTIONS,yes/no,FORM: AUXILIARY 'HAVE',Can use auxiliary 'have' + subject + the '-ed' form to form 'yes/no' questions.  ►  present perfect,I've just watched a football competition with my family and friends. Have you watched it?,
380,A2,QUESTIONS,yes/no,FORM: MAIN VERB 'BE',Can use main verb 'be' + subject to form 'yes/no' questions.,Are you ok?,
381,A2,QUESTIONS,yes/no,FORM: MODAL VERBS,Can use an increasing range of modal verbs + subject + main verb to form 'yes/no' questions.,Could you meet me at my home at 7 pm?,2.0
382,A2,REPORTED SPEECH,reported speech,"FORM: REPORTED STATEMENTS WITH 'TELL', PRONOUN SHIFT","Can report statements using a reporting clause with 'tell' + direct object + 'that-'clause, with a pronoun shift where relevant.",[about a mobile phone] It's very important to me to have it with me because my brother is in the hospital and my father told me that he will call.,
383,A2,REPORTED SPEECH,reported speech,"FORM: REPORTED STATEMENTS WITH 'SAY', PRONOUN SHIFT","Can report statements using a reporting clause with 'say' + 'that-'clause, with a pronoun shift where relevant.",My mother said that she can take us there.,
384,A2,VERBS,linking,FORM: LINKING + COMPLEMENT,Can use an increasing range of linking verbs with complements.,It looks good on you.,2.0
385,A2,VERBS,patterns_that clauses,FORM: REPORTING VERBS + DIRECT OBJECT 'THAT'-CLAUSE,"Can use a limited range of verbs, typically reporting, with a 'that'-clause as the direct object.",I hope that you'll come.,1.0
386,A2,VERBS,patterns_that clauses,FORM: VERBS + INDIRECT OBJECT CLAUSE,"Can use verbs, typically reporting verbs, followed by a noun or pronoun as the indirect object and a clause with or without 'that', as the direct object.",I told you that she has a new car?,
387,A2,VERBS,patterns_that clauses,FORM: VERBS + DIRECT OBJECT CLAUSE WITHOUT 'THAT',"Can use reporting verbs, especially mental process verbs, with a clause as the direct object, without 'that', especially in informal contexts.","I hope you can go, buddy.",
388,A2,VERBS,patterns_with to and -ing,FORM: VERBS + 'TO'-INFINITIVE OR + '-ING',"Can use verbs expressing preference followed either by a 'to'-infinitive or an '-ing' form, with no change in meaning.",I love to play football.,
389,A2,VERBS,patterns_with to and -ing,FORM: 'ENJOY' + '-ING',Can use 'enjoy' followed by the '-ing' form.,We enjoy playing the piano and singing together.,
390,A2,VERBS,patterns_with to and -ing,FORM/USE: 'WOULD LOVE' + 'TO',Can use 'would love to' followed by the 'to'-infinitive to give emphasis.,I'd love to do the concert.,
391,A2,VERBS,patterns_with to and -ing,FORM: VERB + 'TO'- INFINITIVE,Can use an increasing range of verbs followed by a 'to'-infinitive.,I bought them because I hope to go to England this year and the weather isn't very good.,2.0
392,A2,VERBS,phrasal,FORM: NO OBJECT,Can use a limited range of phrasal verbs without an object.,I'm going to get up early on Saturday.,1.0
393,A2,VERBS,phrasal,FORM: VERB + PRONOUN + PARTICLE ,Can use a limited range of phrasal verbs + object pronoun + particle.,I will pick you up and arrange everything.,1.0
394,A2,VERBS,phrasal-prepositional,FORM/USE: 'LOOK FORWARD TO',"Can use 'look forward to' as a fixed expression followed by an '-ing' form or noun phrase, usually at the end of correspondence.",I'm looking forward to seeing you!,
395,A2,VERBS,there is/are,FORM: 'THERE IS' + UNCOUNTABLE,Can use 'there is' + uncountable nouns as complement.,I need it because there is some money in it which I have to pay to someone.,
396,A2,VERBS,there is/are,FORM: 'THERE IS/ARE' + A LOT OF ,Can use both 'there is' and 'there are' + 'a lot of' + plural noun.,There's a lot of people there.,
397,A2,VERBS,types,FORM: MODAL AUXILIARY VERBS,Can use an increasing range of modal auxiliary verbs.,And I think we should go somewhere else to have a drink after the film.,2.0
398,A2,VERBS,types,FORM: LINKING VERBS + ADJECTIVE,Can use linking verbs with adjective complements.,It makes me feel comfortable and the room looks bigger with the colour.,
399,A2,VERBS,types,FORM: AUXILIARY VERBS 'HAVE' AND 'DO',Can use auxiliary verbs 'have' and 'do'.,It has been a long time since I saw you.,
400,A2,VERBS,types,"FORM: SEMI-MODAL AUXILIARY VERBS, 'HAVE (GOT) TO'",Can use semi-modal auxiliary verb 'have (got) to'.,"You've got to bring paintbrushes, paper and paint, that's all.",
401,B1,ADJECTIVES,combining,FORM: COMBINING MORE THAN TWO ADJECTIVES ,"Can use commas and 'and' to join more than two adjectives, after 'be'.","Her name is Cassia, she is beautiful, intelligent, funny and very reliable.",
402,B1,ADJECTIVES,combining,FORM: COMBINING THE SAME COMPARATIVE ADJECTIVE WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or get. ► adjectives: comparatives","I could see how the fire was burning the door, and the room became hotter and hotter.",
403,B1,ADJECTIVES,combining,FORM: BEFORE THE NOUN,"Can use a comma to combine two adjectives used before the noun, following the usual order of adjective types.","It was the biggest TV in the bazaar, with its huge, black screen.",
404,B1,ADJECTIVES,combining,FORM: COMPOUND ADJECTIVES,"Can use a limited range of compound adjectives ('good-looking', 'well-known')",He was tall and good-looking.,1.0
405,B1,ADJECTIVES,combining,FORM: COMBINING COMPARATIVE ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of comparative adjectives.► adjectives: comparatives,"In the winter you can go to the fitness centre, there you can get stronger and fitter.",
406,B1,ADJECTIVES,comparatives,FORM/USE: WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or 'get'.  ► adjectives: comparatives",I saw everything become smaller and smaller.,
407,B1,ADJECTIVES,comparatives,FORM/USE: WITH '(SO) MUCH' ,"Can use '(so) much' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'.",I think the teacher in the new class is much better than the last one.,
408,B1,ADJECTIVES,comparatives,FORM/USE: WITH 'A (LITTLE) BIT' ,"Can use 'a (little) bit' to modify comparative adjectives used predicatively after a verb, usually 'be'.","He's 15, a bit smaller than me, dark hair, brown eyes.",
409,B1,ADJECTIVES,comparatives,FORM/USE: WITH 'EVEN',"Can use 'even' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be' and 'get'.","[talking about a series of films] I'm sure you've seen part one already, but part two was even better!",
410,B1,ADJECTIVES,modifying,FORM: WITH 'TOO' + 'TO'-INFINITIVE ,Can use 'too' before adjectives followed by 'to'-infinitive.,"He always told me that he was too busy to write a letter to me, his wife.",
411,B1,ADJECTIVES,modifying,FORM: WITH 'ENOUGH' ,Can use 'enough' to modify adjectives.,"My room is big enough, there is a lot of space, and for this reason I will buy a stereo.",
412,B1,ADJECTIVES,modifying,FORM: ADJECTIVE PHRASE + NOUN,"Can use adjective phrases attributively, before a noun.",… my boss told me that at 10.15 am I have a very important meeting.,
413,B1,ADJECTIVES,modifying,FORM: WITH 'QUITE A',Can form adjective phrases with 'quite a' + adjective.,I been thinking about your last letter for quite a long time and I came to the following conclusion.,
414,B1,ADJECTIVES,position,FORM: ADJECTIVES WITH PREFIX 'A-',"Can use adjectives with the prefix a- ('asleep', 'awake', 'alive', 'alone') predicatively only, after linking verbs.",I was very nervious because I was  alone at the bus station …,
415,B1,ADJECTIVES,position,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use an increasing range of adjectives attributively, before a noun.
► noun phrases",The main character in the programme is a journalist who is visiting the town.,2.0
416,B1,ADJECTIVES,position,FORM: WITH 'MAKE' AS OBJECT COMPLEMENT,Can use adjectives as object complement after 'make'.,That's something that makes me angry!,
417,B1,ADJECTIVES,position,FORM: WITH PRONOUN,"Can use an adjective or adjective phrase after pronouns like 'something', 'nothing', 'somewhere', 'nowhere'.",I like cooking and I want to cook something special.,
418,B1,ADJECTIVES,superlatives,FORM/USE: COMPLEX NOUN PHRASES,"Can form an increasing range of complex noun phrases with a superlative adjective + prepositional phrase, to talk about something unique. ► noun phrases",Yesterday was the most exciting day of my life!,2.0
419,B1,ADJECTIVES,superlatives,FORM/USE: 'THE BEST' WITH NOUN AND PRESENT PERFECT,Can use 'the best' before a noun + present perfect to talk about a unique experience.,It was the best birthday present I have ever had.,
420,B1,ADJECTIVES,superlatives,FORM: 'THE BEST' WITH NOUN AND  'TO-' INFINITIVE,Can use 'the best' before a noun + 'to'-infinitive.  ► clauses: comparative,Summer is the best time to visit Poland.,
421,B1,ADJECTIVES,superlatives,FORM: 'ONE OF THE' ,"Can use 'one of the' before a superlative adjective, followed by a plural noun. ► noun phrases",It was one of the best days of my life.,
422,B1,ADJECTIVES,superlatives,FORM: WITH DETERMINERS,Can form noun phrases with a range of determiners before a superlative adjective. ► noun phrases,"There, people wear their best clothes.",
423,B1,ADVERBS,adverb phrases - form,FORM: ADVERB + ADVERB,Can modify an increasing range of adverbs with other adverbs.► adverbs and adverb phrases: types and meanings,We get along quite well.,2.0
424,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: TIME,Can use an increasing range of adverbs to refer to the timing of an event.,"Dear Kate, I went to the cinema with a new friend recently.",2.0
425,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: MANNER,Can use an increasing range of manner adverbs and adverb phrases to modify how something happens.,They are like my sisters. We go everywhere together.,2.0
426,B1,ADVERBS,adverbs and adverb phrases: types and meanings,USE: PLACE,"Can use an increasing range of adverbs and adverb phrases ('near', 'far away', 'upstairs', 'downstairs') to indicate place.",You can't go far away because I don't think your parents want to pay for it.,2.0
427,B1,ADVERBS,adverbs and adverb phrases: types and meanings,"USE: DEGREE, 'REALLY REALLY'",Can use 'really really' with verbs and adjectives for emphasis.,"Oh, I really really like her very friendly and lovely smile.",
